s2id,longitude,latitude,label,sublabel,iso3,source
8e4df159,-78.1991896022672,7.524118209774699,Puerto Piña,Darién,PAN,buffer
8facaa63,-79.42819143245887,9.022889054916824,Puerto Juan Díaz,Panamá,PAN,buffer
8facaa7d,-79.42819143245887,9.028336742683004,Puerto Juan Díaz,Panamá,PAN,buffer
8e4df407,-78.21058572338487,7.540380413684059,Puerto Piña,Darién,PAN,buffer
8fa576f9,-82.44006794397698,8.36531584929818,Puerto Pedregal,Chiriquí,PAN,provided_points
8e4df3e5,-78.21058572338487,7.52442714696837,Puerto Piña,Darién,PAN,buffer
8e54a231,-79.05603110054679,9.126290407698184,Puerto Coquira,Panamá,PAN,buffer
8facbd37,-79.71474682239443,8.862225150654194,Puerto Caimito,Panamá Oeste,PAN,buffer
8fae1115,-81.05062491272128,7.925564146290758,Puerto Mutis,Veraguas,PAN,buffer
8fb269e1,-80.34637535845074,7.33662995514523,Búcaro,Los Santos,PAN,provided_points
8e54a3cf,-79.07297931434694,9.126803235016549,Puerto Coquira,Panamá,PAN,buffer
8fa50343,-82.83444205019033,8.263867508380327,Puerto Armuelles,Chiriquí,PAN,buffer
8faca5fd,-79.56877275796117,8.950665659504079,La Boca,Panamá,PAN,buffer
8faca8cf,-79.5294317822214,8.960438929017988,Puerto Panamá,Panamá,PAN,provided_points
8fad816f,-80.15681341191653,7.7442869947470045,Búcaro,Los Santos,PAN,buffer
8faca8b5,-79.54067379603453,8.955313795204239,Puerto Panamá,Panamá,PAN,buffer
8fad83e5,-80.17355647291416,7.76613439401476,Búcaro,Los Santos,PAN,buffer
8fadc853,-80.49104697362388,8.236772416391839,Puerto Aguadulce,Coclé,PAN,buffer
8faca2d1,-79.70352645394627,8.878237366105505,Puerto Caimito,Panamá Oeste,PAN,buffer
8facbcd3,-79.68669326629015,8.866889303234457,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fad9011,-80.29066586099977,7.860143142526447,Búcaro,Los Santos,PAN,buffer
8fa5031b,-82.85598537490912,8.27512406640295,Puerto Armuelles,Chiriquí,PAN,buffer
8fa50341,-82.83982853118104,8.263963794437826,Puerto Armuelles,Chiriquí,PAN,buffer
8fa50365,-82.82905513620963,8.274642419969426,Puerto Armuelles,Chiriquí,PAN,buffer
8faca8d7,-79.51818838226727,8.96011907559798,Puerto Panamá,Panamá,PAN,provided_points
8fadc909,-80.50216515092168,8.253255887033962,Puerto Aguadulce,Coclé,PAN,buffer
8faca2d3,-79.70352645394627,8.872796207962642,Puerto Caimito,Panamá Oeste,PAN,buffer
8fadbd89,-80.33523640630077,8.022617562343298,Boca Parita,Herrera,PAN,buffer
8faca333,-79.68108150169897,8.872174142392552,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8facaf43,-79.54629428274575,8.93369832213486,Chorrillo,Panamá,PAN,buffer
8facaf51,-79.55191442245089,8.944744261139087,Chorrillo,Panamá,PAN,buffer
8fad9017,-80.29623846703619,7.860272273966748,Búcaro,Los Santos,PAN,buffer
8fadbe81,-80.36864883328118,8.066520400797717,Boca Parita,Herrera,PAN,buffer
8fa5037b,-82.82905513620963,8.280078663301966,Puerto Armuelles,Chiriquí,PAN,buffer
8facaa7b,-79.43381882628826,9.028499469744984,Puerto Juan Díaz,Panamá,PAN,buffer
8fafbcc3,-81.80877209042286,8.2062712399841,Puerto Remedios,Chiriquí,PAN,buffer
8facaa87,-79.42256369492686,9.028173919870106,Puerto Juan Díaz,Panamá,PAN,buffer
8fa576f1,-82.44548568741834,8.359980739950375,Puerto Pedregal,Chiriquí,PAN,buffer
8facbcbf,-79.6698569203932,8.850103986867305,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fadbdf3,-80.34637535845074,8.028267530625149,Boca Parita,Herrera,PAN,buffer
8fadbe0f,-80.37421627830238,8.034310309541176,Boca Parita,Herrera,PAN,buffer
8fa5030d,-82.8452145790513,8.28036807556783,Puerto Armuelles,Chiriquí,PAN,buffer
8fa576fb,-82.44006794397698,8.359877348332507,Puerto Pedregal,Chiriquí,PAN,provided_points
8facbcb5,-79.6698569203932,8.866422329236592,Puerto Vacamonte,Panamá Oeste,PAN,provided_points
8fad9611,-80.35194428106844,8.006848753048638,Boca Parita,Herrera,PAN,buffer
8fadbe09,-80.36864883328118,8.034179594699564,Boca Parita,Herrera,PAN,buffer
8fae113f,-81.05614575727921,7.925682845563518,Puerto Mutis,Veraguas,PAN,provided_points
8facaf5d,-79.55191442245089,8.93385735343163,Chorrillo,Panamá,PAN,buffer
8facbcb9,-79.6698569203932,8.855543048584082,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fadbe0d,-80.37421627830238,8.039699512249598,Boca Parita,Herrera,PAN,buffer
8fae1123,-81.05614575727921,7.914904306475369,Puerto Mutis,Veraguas,PAN,buffer
8fa576fd,-82.43464977719417,8.359773874881856,Puerto Pedregal,Chiriquí,PAN,provided_points
8fadbdfd,-80.36308101863455,8.028660171412493,Boca Parita,Herrera,PAN,buffer
8e54a235,-79.06168083856709,9.131910818360698,Puerto Coquira,Panamá,PAN,buffer
8fad901b,-80.29066586099977,7.854768730186119,Búcaro,Los Santos,PAN,buffer
8fad9621,-80.34080606681118,8.017361139817003,Boca Parita,Herrera,PAN,buffer
8fadbdd5,-80.36308101863455,8.060998024278632,Boca Parita,Herrera,PAN,buffer
8faca8ab,-79.55753421499304,8.95579201389116,La Boca,Panamá,PAN,buffer
8fadc9a5,-80.49104697362388,8.252991481961432,Puerto Aguadulce,Coclé,PAN,buffer
8fae111b,-81.04510368031511,7.914667141559451,Puerto Mutis,Veraguas,PAN,buffer
8fae1125,-81.06166621384345,7.915022767506921,Puerto Mutis,Veraguas,PAN,buffer
8fb2420d,-80.34637535845074,7.325961730264163,Búcaro,Los Santos,PAN,buffer
8e54a22b,-79.06168083856709,9.1155638411161,Puerto Coquira,Panamá,PAN,buffer
8faca8b1,-79.54629428274575,8.96091799783163,Puerto Panamá,Panamá,PAN,buffer
8fadbe03,-80.37421627830238,8.023533125607832,Boca Parita,Herrera,PAN,provided_points
8e54a3cd,-79.06733024322057,9.126632390064952,Puerto Coquira,Panamá,PAN,provided_points
8fa576f7,-82.44548568741834,8.365419306255193,Puerto Pedregal,Chiriquí,PAN,buffer
8faca607,-79.56877275796117,8.956110352633486,La Boca,Panamá,PAN,buffer
8faca8bb,-79.54629428274575,8.966363082444813,Puerto Panamá,Panamá,PAN,buffer
